id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
160,1741864728.9089975,6.0,,,1,1,40,40,1.0,238.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
161,1741864728.9333663,6.0,,,1,1,233,233,1.0,238.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
162,1741864728.9360344,6.0,,,1,1,114,114,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
163,1741864728.937233,6.0,,,1,1,387,387,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
164,1741864729.1565032,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
165,1741864729.240552,6.0,,,1,1,40,40,1.0,238.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
166,1741864729.2415614,6.0,,,1,1,219,219,1.0,238.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
167,1741864729.2907484,6.0,,,1,1,40,40,1.0,238.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
168,1741864729.2957695,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
169,1741864729.4785254,6.0,,,1,1,40,40,1.0,238.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
170,1741864729.9773092,6.0,,,1,1,541,541,1.0,238.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
171,1741864729.9923058,6.0,,,1,1,67,67,1.0,238.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
172,1741864729.9923058,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
173,1741864729.993307,6.0,,,1,1,80,80,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
174,1741864729.9943395,6.0,,,1,1,80,80,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
175,1741864729.9948823,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
176,1741864729.9959388,6.0,,,1,1,52,52,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
177,1741864730.286772,6.0,,,1,1,52,52,1.0,240.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
178,1741864730.2889278,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
179,1741864730.298828,6.0,,,1,1,815,815,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
180,1741864730.3105805,6.0,,,1,1,40,40,1.0,238.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
