id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
21,98.65632200241089,tcp,,FIN,35,0,10397,0,0.3547669251155004,48,,843.0883932401961,0.0,0,0,1.009225845336914,0,10928.19155357031,0,608,4237295693,,,0,0,0,297.0571428571429,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
22,112.74099636077881,tcp,,FIN,21,0,6967,0,0.18626764600162465,128,,494.37207226412147,0.0,0,0,75040.78221321106,0,17188.446198132726,0,254,2578081256,,,0,0,0,331.76190476190476,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
23,112.70685052871704,tcp,,FIN,26,0,6993,0,0.2306869536149034,48,,496.3673435781599,0.0,0,0,1.0030269622802734,0,15515.47942555348,0,356,848168690,,,0,0,0,268.96153846153845,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
24,0.0,tcp,,RST,2,0,108,0,0.0,128,,0.0,0.0,0,0,0.0,0,0.0,0,0,2578087079,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
25,0.02256488800048828,tcp,,FIN,2,0,132,0,88.63327839060057,48,,46798.3709902371,0.0,0,0,22.56488800048828,0,0.0,0,356,848174268,,,0,0,0,66.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
26,121.39236807823181,tcp,,FIN,17,0,6355,0,0.1400417527817258,50,,418.8072183189964,0.0,0,0,75133.92186164856,0,20541.522862425747,0,83,7007907,,,0,0,0,373.8235294117647,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
27,0.0,tcp,,FIN,1,0,54,0,0.0,50,,0.0,0.0,0,0,0.0,0,0.0,0,83,7013345,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
28,0.0,tcp,,FIN,1,0,78,0,0.0,50,,0.0,0.0,0,0,0.0,0,0.0,0,83,7013321,,,0,0,0,78.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
29,120.00989603996277,tcp,,FIN,13,0,4524,0,0.10832440014506017,128,,301.57513000384756,0.0,0,0,83409.06596183777,0,24298.866267858848,0,255,2616089227,,,0,0,0,348.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
30,0.0,tcp,,RST,1,0,54,0,0.0,128,,0.0,0.0,0,0,0.0,0,0.0,0,0,2616093027,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
31,121.15275049209595,tcp,,FIN,13,0,3892,0,0.10730255769841664,128,,256.99787973060774,0.0,0,0,83492.39826202393,0,24399.152986325127,0,253,2610620863,,,0,0,0,299.38461538461536,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
